inventory_id,product_id,warehouse_id,stock_quantity,reorder_level,last_updated
1,1,1,200,45,2026-01-01
2,1,2,463,40,2026-01-01
3,1,3,434,25,2026-01-01
4,1,4,394,29,2026-01-01
5,1,5,111,40,2026-01-01
6,1,6,389,97,2026-01-01
7,1,7,348,71,2026-01-01
8,1,8,171,44,2026-01-01
9,1,9,304,73,2026-01-01
10,1,10,207,25,2026-01-01
11,1,11,100,85,2026-01-01
12,1,12,174,20,2026-01-01
13,1,13,306,86,2026-01-01
14,1,14,454,91,2026-01-01
15,1,15,89,66,2026-01-01
16,1,16,198,68,2026-01-01
17,1,17,485,68,2026-01-01
18,1,18,421,58,2026-01-01
19,1,19,28,72,2026-01-01
20,1,20,439,96,2026-01-01
21,2,1,332,52,2026-01-01
22,2,2,62,49,2026-01-01
23,2,3,396,51,2026-01-01
24,2,4,419,66,2026-01-01
25,2,5,221,59,2026-01-01
26,2,6,192,62,2026-01-01
27,2,7,228,73,2026-01-01
28,2,8,491,32,2026-01-01
29,2,9,217,36,2026-01-01
30,2,10,292,37,2026-01-01
31,2,11,354,64,2026-01-01
32,2,12,451,84,2026-01-01
33,2,13,21,56,2026-01-01
34,2,14,448,63,2026-01-01
35,2,15,130,56,2026-01-01
36,2,16,247,30,2026-01-01
37,2,17,210,65,2026-01-01
38,2,18,456,92,2026-01-01
39,2,19,170,65,2026-01-01
40,2,20,132,42,2026-01-01
41,3,1,110,78,2026-01-01
42,3,2,239,55,2026-01-01
43,3,3,487,100,2026-01-01
44,3,4,59,68,2026-01-01
45,3,5,251,87,2026-01-01
46,3,6,388,92,2026-01-01
47,3,7,199,64,2026-01-01
48,3,8,97,57,2026-01-01
49,3,9,23,89,2026-01-01
50,3,10,470,62,2026-01-01
51,3,11,467,63,2026-01-01
52,3,12,149,53,2026-01-01
53,3,13,391,54,2026-01-01
54,3,14,302,65,2026-01-01
55,3,15,314,83,2026-01-01
56,3,16,397,88,2026-01-01
57,3,17,445,47,2026-01-01
58,3,18,144,65,2026-01-01
59,3,19,5,35,2026-01-01
60,3,20,47,34,2026-01-01
61,4,1,487,97,2026-01-01
62,4,2,314,72,2026-01-01
63,4,3,87,96,2026-01-01
64,4,4,495,53,2026-01-01
65,4,5,258,97,2026-01-01
66,4,6,295,54,2026-01-01
67,4,7,96,60,2026-01-01
68,4,8,168,31,2026-01-01
69,4,9,362,74,2026-01-01
70,4,10,475,40,2026-01-01
71,4,11,379,81,2026-01-01
72,4,12,99,88,2026-01-01
73,4,13,11,32,2026-01-01
74,4,14,5,62,2026-01-01
75,4,15,50,83,2026-01-01
76,4,16,418,62,2026-01-01
77,4,17,110,59,2026-01-01
78,4,18,144,89,2026-01-01
79,4,19,138,24,2026-01-01
80,4,20,135,36,2026-01-01
81,5,1,295,37,2026-01-01
82,5,2,84,21,2026-01-01
83,5,3,421,34,2026-01-01
84,5,4,467,84,2026-01-01
85,5,5,318,78,2026-01-01
86,5,6,100,73,2026-01-01
87,5,7,319,31,2026-01-01
88,5,8,412,38,2026-01-01
89,5,9,173,24,2026-01-01
90,5,10,355,88,2026-01-01
91,5,11,280,60,2026-01-01
92,5,12,358,57,2026-01-01
93,5,13,316,77,2026-01-01
94,5,14,293,43,2026-01-01
95,5,15,96,98,2026-01-01
96,5,16,422,57,2026-01-01
97,5,17,16,62,2026-01-01
