order_item_id,order_id,product_id,quantity,unit_price,discount,sales_amount
1,6752,587,5,959.28,0.16,4028.98
2,2762,149,2,861.39,0.27,1257.63
3,9379,711,4,476.15,0.05,1809.37
4,757,712,4,56.33,0.02,220.81
5,4046,999,1,994.89,0.02,974.99
6,8827,567,2,1596.53,0.0,3193.06
7,9747,518,5,1348.87,0.19,5462.92
8,2492,5,4,1742.09,0.13,6062.47
9,620,72,3,783.19,0.19,1903.15
10,925,47,1,1622.02,0.18,1330.06
11,2767,797,1,191.3,0.14,164.52
12,1449,260,3,630.87,0.03,1835.83
13,3300,313,3,141.92,0.08,391.7
14,3794,439,4,669.41,0.28,1927.9
15,8418,906,5,1266.28,0.24,4811.86
16,4148,607,3,1751.73,0.02,5150.09
17,7460,140,5,902.78,0.23,3475.7
18,2315,563,2,760.91,0.05,1445.73
19,4933,787,3,625.15,0.06,1762.92
20,6919,369,2,970.42,0.14,1669.12
21,5182,33,3,1890.48,0.25,4253.58
22,7660,630,2,575.77,0.11,1024.87
23,646,849,5,1715.57,0.18,7033.84
24,5839,57,1,1986.82,0.04,1907.35
25,6135,932,1,582.74,0.16,489.5
26,4362,825,3,870.74,0.05,2481.61
27,8740,59,4,1394.32,0.04,5354.19
28,7020,101,5,405.8,0.23,1562.33
29,5291,883,5,1829.59,0.1,8233.15
30,1458,542,1,1767.67,0.2,1414.14
31,9219,392,1,1268.28,0.18,1039.99
32,6417,142,4,1580.13,0.16,5309.24
33,4007,447,4,1043.14,0.08,3838.76
34,593,86,4,1588.54,0.12,5591.66
35,8375,705,4,1077.42,0.02,4223.49
36,5998,500,5,1474.46,0.2,5897.84
37,9630,564,4,384.21,0.03,1490.73
38,2182,81,5,1276.46,0.29,4531.43
39,9020,678,4,1088.16,0.03,4222.06
40,5047,520,4,1449.82,0.06,5451.32
41,2115,765,5,1163.1,0.13,5059.48
42,3198,971,4,1045.67,0.26,3095.18
43,1091,320,5,400.55,0.04,1922.64
44,4849,691,2,1502.09,0.23,2313.22
45,5060,947,4,435.72,0.23,1342.02
46,1678,874,5,282.54,0.22,1101.91
47,3943,34,3,716.76,0.12,1892.25
48,8562,15,5,631.91,0.06,2969.98
49,8,894,3,363.74,0.16,916.62
50,2295,155,4,706.95,0.03,2742.97
51,7308,508,2,1225.03,0.0,2450.06
52,3780,632,5,1298.17,0.25,4868.14
53,8938,684,1,760.04,0.14,653.63
