order_id,customer_id,store_id,order_date,order_status,payment_method,total_amount
1,329,86,2025-06-02 14:12:13,Completed,UPI,1011.64
2,712,2,2024-06-11 00:39:08,Returned,Cash,2643.95
3,539,38,2024-11-17 02:01:58,Returned,Cash,4588.99
4,39,56,2025-12-29 21:11:05,Cancelled,Credit Card,4636.14
5,598,34,2025-05-22 06:29:42,Completed,Debit Card,2581.95
6,347,21,2024-09-17 11:22:36,Returned,Cash,3300.76
7,539,21,2025-01-18 10:42:23,Returned,Debit Card,1316.73
8,235,13,2024-10-14 05:33:21,Returned,Credit Card,2758.62
9,204,39,2024-12-04 11:14:25,Returned,UPI,4196.33
10,893,33,2024-05-26 18:16:29,Completed,UPI,3880.8
11,783,84,2024-09-04 19:26:15,Completed,UPI,3538.87
12,979,87,2024-09-18 14:00:55,Completed,Credit Card,384.07
13,835,72,2025-07-22 12:59:20,Cancelled,UPI,2443.45
14,604,70,2024-07-23 08:01:59,Cancelled,Debit Card,4052.16
15,425,18,2024-06-02 20:56:17,Returned,Debit Card,4838.93
16,170,46,2026-02-12 21:23:40,Completed,UPI,1822.87
17,950,89,2025-06-28 08:01:01,Returned,Net Banking,4184.07
18,978,14,2025-01-17 22:43:04,Pending,UPI,759.69
19,411,51,2024-09-22 08:47:18,Completed,Debit Card,4939.21
20,234,61,2024-11-11 09:44:39,Pending,Credit Card,2611.91
21,310,2,2025-08-28 12:22:33,Pending,Cash,3610.28
22,810,98,2024-06-05 00:18:52,Pending,UPI,1299.11
23,43,2,2025-06-14 12:30:58,Returned,Cash,2812.96
24,736,16,2024-07-17 06:20:52,Completed,Debit Card,3180.63
25,79,34,2025-01-24 23:44:09,Returned,Debit Card,3657.83
26,697,88,2024-12-02 03:16:27,Returned,Net Banking,1666.37
27,300,45,2026-04-29 08:34:19,Completed,Debit Card,2979.58
28,774,93,2025-08-18 13:28:57,Cancelled,Cash,563.0
29,129,70,2025-10-16 05:26:07,Completed,UPI,4662.82
30,472,68,2025-11-28 18:30:25,Completed,Net Banking,3532.2
31,151,53,2025-08-18 07:53:00,Cancelled,Net Banking,3610.41
32,837,48,2024-06-07 21:39:34,Returned,Cash,1953.5
33,766,44,2026-02-27 11:43:35,Returned,Debit Card,3549.78
34,991,46,2025-04-02 16:29:04,Pending,UPI,1336.18
35,731,17,2026-05-19 10:41:12,Pending,Net Banking,2354.58
36,456,79,2024-10-20 06:31:41,Cancelled,UPI,1743.24
37,997,31,2026-05-13 05:09:37,Cancelled,Credit Card,1478.7
38,893,12,2024-07-20 02:49:27,Completed,Cash,886.19
39,266,34,2025-03-26 18:00:08,Returned,Credit Card,4740.9
40,735,30,2026-03-16 19:48:55,Pending,UPI,2158.32
41,445,52,2025-06-12 03:14:52,Cancelled,Net Banking,2072.8
42,647,41,2026-02-23 18:29:12,Completed,Cash,2835.0
43,623,73,2026-04-19 16:39:05,Completed,Credit Card,2368.47
44,1,16,2024-09-26 07:05:47,Returned,Net Banking,4215.68
45,996,65,2026-02-19 19:38:34,Returned,UPI,1634.22
46,828,28,2024-12-01 06:49:47,Cancelled,Net Banking,804.34
47,559,34,2026-04-27 10:05:24,Pending,Cash,1614.34
48,908,80,2026-03-01 23:09:39,Cancelled,Debit Card,4287.11
49,981,3,2025-12-19 23:18:36,Pending,Cash,2538.11
50,460,28,2025-12-25 21:01:11,Completed,Net Banking,4826.28
51,679,74,2024-08-26 15:30:25,Cancelled,Cash,51.15
52,88,93,2024-07-16 09:53:33,Pending,Net Banking,1787.05
53,164,85,2024-08-24 05:01:03,Completed,Cash,3632.69
54,630,34,2025-11-27 04:39:07,Cancelled,Net Banking,1465.09
55,228,41,2026-05-02 05:24:14,Cancelled,UPI,2232.34
56,661,97,2025-03-19 22:51:28,Cancelled,Net Banking,961.07
57,746,17,2025-11-05 08:50:38,Cancelled,Credit Card,4445.45
58,990,25,2026-03-24 17:36:50,Completed,UPI,2202.54
59,81,47,2026-02-06 08:23:29,Pending,Debit Card,4165.79
60,587,89,2025-12-05 18:33:46,Completed,UPI,3786.02
61,843,62,2025-04-30 20:31:23,Completed,Cash,3866.25
62,299,100,2025-12-27 20:08:09,Cancelled,Credit Card,4381.07
63,848,66,2025-07-15 18:16:01,Returned,Cash,52.4
64,12,67,2025-11-01 03:44:17,Completed,Debit Card,3006.91
65,670,6,2025-07-17 07:12:29,Pending,Credit Card,3082.05
66,994,55,2025-10-25 22:18:42,Completed,Credit Card,4677.54
67,261,89,2024-08-11 15:53:45,Completed,Cash,3718.33
68,576,9,2024-06-14 08:47:09,Returned,Credit Card,312.95
69,427,83,2024-11-29 10:15:33,Returned,UPI,2812.99
70,495,67,2026-03-24 22:04:28,Returned,Cash,1646.05
71,746,46,2024-11-04 09:44:41,Pending,Net Banking,2177.04
72,119,66,2025-11-28 00:19:43,Cancelled,Cash,3893.0
73,584,88,2025-10-04 19:38:11,Returned,UPI,4802.54
74,372,28,2024-11-18 08:25:45,Cancelled,Credit Card,788.5
75,386,13,2024-09-20 11:13:06,Cancelled,Debit Card,2988.78
76,895,65,2025-09-25 02:28:34,Completed,Cash,4984.57
77,290,38,2024-09-09 07:11:12,Completed,Credit Card,600.48
78,870,50,2025-09-07 07:43:42,Completed,Net Banking,3032.53
79,139,40,2025-07-12 20:32:21,Cancelled,Cash,130.71
80,343,3,2024-08-18 06:48:27,Pending,UPI,3440.64
81,142,3,2024-11-27 09:48:00,Cancelled,Net Banking,3866.27
82,534,15,2025-08-12 07:27:28,Completed,Net Banking,670.99
83,834,96,2024-08-25 11:29:19,Pending,Debit Card,538.17
84,658,84,2025-11-17 08:01:01,Completed,Debit Card,1373.75
85,576,46,2025-06-29 04:33:18,Returned,Net Banking,2733.85
86,208,12,2025-02-17 13:50:04,Cancelled,Cash,2037.44
87,354,85,2025-06-12 20:34:36,Pending,Credit Card,520.03
88,912,89,2024-09-24 10:34:10,Cancelled,Net Banking,2900.53
89,395,39,2026-05-21 08:05:54,Pending,Credit Card,2241.85
90,79,68,2025-03-01 20:43:26,Completed,Credit Card,456.11
91,164,67,2025-02-14 19:32:13,Returned,UPI,2727.29
92,505,53,2024-06-04 06:32:21,Returned,UPI,557.26
93,681,46,2025-06-23 02:04:06,Cancelled,Net Banking,4887.48
94,715,72,2025-08-02 10:09:59,Cancelled,Debit Card,289.01
95,272,16,2025-03-24 06:46:36,Returned,Debit Card,4071.6
96,183,87,2024-07-28 11:26:33,Cancelled,Debit Card,1611.26
97,668,27,2025-09-13 01:51:28,Cancelled,UPI,3681.69
98,899,82,2025-12-09 20:00:25,Cancelled,Cash,940.8
99,705,58,2024-08-12 03:51:53,Pending,Debit Card,2516.15
100,752,15,2025-01-05 14:45:39,Pending,UPI,3804.8
101,106,87,2024-11-14 08:29:33,Completed,Net Banking,1435.82
102,850,71,2025-06-26 20:17:49,Completed,UPI,4286.91
