payment_id,order_id,customer_id,payment_method,payment_status,payment_amount,payment_date
1,1,329,Credit Card,Success,1011.64,2024-07-21 01:21:59
2,2,712,Debit Card,Success,2643.95,2025-05-16 18:18:24
3,3,539,UPI,Pending,4588.99,2024-08-17 15:33:41
4,4,39,Debit Card,Pending,4636.14,2025-10-02 15:31:15
5,5,598,Net Banking,Pending,2581.95,2025-03-05 17:21:17
6,6,347,Net Banking,Success,3300.76,2025-09-09 17:18:58
7,7,539,Cash,Success,1316.73,2024-10-03 14:06:25
8,8,235,Net Banking,Success,2758.62,2025-03-31 15:37:44
9,9,204,Net Banking,Pending,4196.33,2025-08-15 09:54:41
10,10,893,Net Banking,Success,3880.8,2024-07-03 08:44:24
11,11,783,Net Banking,Failed,3538.87,2025-02-01 15:13:57
12,12,979,Credit Card,Success,384.07,2025-02-14 12:05:32
13,13,835,Cash,Success,2443.45,2026-05-13 07:41:31
14,14,604,Credit Card,Pending,4052.16,2024-08-08 17:37:12
15,15,425,UPI,Pending,4838.93,2024-12-13 13:37:05
16,16,170,Net Banking,Success,1822.87,2024-12-16 20:39:50
17,17,950,Credit Card,Success,4184.07,2025-11-25 15:46:32
18,18,978,Credit Card,Success,759.69,2025-12-02 05:01:23
19,19,411,Credit Card,Failed,4939.21,2025-11-07 20:42:51
20,20,234,UPI,Success,2611.91,2024-08-02 19:40:54
21,21,310,Net Banking,Failed,3610.28,2024-10-27 08:19:08
22,22,810,Debit Card,Success,1299.11,2025-05-30 04:49:18
23,23,43,Net Banking,Success,2812.96,2026-01-28 23:44:55
24,24,736,Credit Card,Pending,3180.63,2024-11-17 16:39:44
25,25,79,Cash,Success,3657.83,2024-08-15 19:34:35
26,26,697,Net Banking,Pending,1666.37,2024-08-16 07:17:02
27,27,300,Debit Card,Success,2979.58,2024-10-11 03:14:15
28,28,774,Debit Card,Failed,563.0,2025-09-30 05:00:49
29,29,129,Debit Card,Failed,4662.82,2025-03-01 04:58:13
30,30,472,Credit Card,Pending,3532.2,2025-05-31 16:34:44
31,31,151,Credit Card,Failed,3610.41,2025-05-01 13:17:28
32,32,837,Cash,Success,1953.5,2025-05-17 07:52:03
33,33,766,Net Banking,Pending,3549.78,2025-10-23 13:13:05
34,34,991,Cash,Pending,1336.18,2025-11-20 00:49:32
35,35,731,UPI,Success,2354.58,2025-02-16 16:05:01
36,36,456,UPI,Success,1743.24,2024-10-29 06:56:52
37,37,997,Debit Card,Success,1478.7,2025-04-21 22:45:06
38,38,893,UPI,Failed,886.19,2025-09-06 03:21:17
39,39,266,Net Banking,Failed,4740.9,2025-03-12 02:55:52
40,40,735,Net Banking,Pending,2158.32,2024-12-21 19:23:58
41,41,445,UPI,Success,2072.8,2024-11-23 08:38:10
42,42,647,Debit Card,Failed,2835.0,2025-05-01 00:03:53
43,43,623,Cash,Pending,2368.47,2025-07-24 21:57:46
44,44,1,Debit Card,Success,4215.68,2024-10-18 07:52:40
45,45,996,Cash,Failed,1634.22,2024-09-18 00:09:17
46,46,828,UPI,Success,804.34,2025-09-21 07:41:33
47,47,559,Credit Card,Pending,1614.34,2025-10-30 18:03:01
48,48,908,Debit Card,Pending,4287.11,2025-02-21 04:39:25
49,49,981,UPI,Success,2538.11,2025-11-01 10:48:43
50,50,460,Net Banking,Pending,4826.28,2024-11-12 21:53:19
51,51,679,Net Banking,Success,51.15,2026-05-26 13:06:52
52,52,88,Net Banking,Success,1787.05,2025-07-12 17:08:43
53,53,164,Credit Card,Pending,3632.69,2026-02-27 22:15:34
54,54,630,Cash,Success,1465.09,2025-06-25 07:23:01
55,55,228,Debit Card,Failed,2232.34,2025-08-07 04:31:34
56,56,661,Net Banking,Failed,961.07,2026-04-13 03:18:50
57,57,746,Cash,Pending,4445.45,2025-04-18 17:04:59
58,58,990,Debit Card,Success,2202.54,2026-05-04 02:25:39
59,59,81,Net Banking,Failed,4165.79,2025-05-31 23:41:04
60,60,587,Cash,Pending,3786.02,2025-05-01 22:20:18
61,61,843,Credit Card,Failed,3866.25,2024-07-25 18:45:13
62,62,299,Net Banking,Pending,4381.07,2024-05-29 12:52:24
63,63,848,UPI,Success,52.4,2025-06-06 00:01:26
64,64,12,Cash,Failed,3006.91,2024-09-05 19:20:30
65,65,670,Credit Card,Success,3082.05,2025-12-28 23:19:01
66,66,994,Net Banking,Success,4677.54,2025-02-22 14:23:56
67,67,261,Cash,Pending,3718.33,2024-11-23 02:34:00
68,68,576,Credit Card,Success,312.95,2026-03-08 23:12:48
69,69,427,Debit Card,Success,2812.99,2025-06-02 06:12:15
70,70,495,Net Banking,Failed,1646.05,2024-12-18 16:48:51
71,71,746,Credit Card,Success,2177.04,2026-01-09 11:52:08
72,72,119,Debit Card,Failed,3893.0,2026-03-29 16:02:33
73,73,584,Debit Card,Pending,4802.54,2024-06-05 16:14:04
74,74,372,Credit Card,Success,788.5,2025-12-19 23:13:06
75,75,386,Net Banking,Failed,2988.78,2024-09-13 00:02:03
76,76,895,Credit Card,Pending,4984.57,2024-12-10 10:18:57
77,77,290,Net Banking,Pending,600.48,2026-02-06 11:37:47
78,78,870,UPI,Success,3032.53,2024-11-25 08:46:36
79,79,139,Cash,Pending,130.71,2025-07-01 15:16:05
80,80,343,UPI,Pending,3440.64,2025-07-04 15:51:58
81,81,142,Net Banking,Pending,3866.27,2025-08-25 13:53:16
82,82,534,Credit Card,Pending,670.99,2026-03-09 22:34:49
83,83,834,UPI,Failed,538.17,2026-05-18 05:50:37
84,84,658,UPI,Success,1373.75,2024-06-15 07:56:11
85,85,576,UPI,Pending,2733.85,2025-12-20 17:28:15
86,86,208,UPI,Success,2037.44,2025-03-24 01:55:51
87,87,354,Cash,Pending,520.03,2024-12-20 04:58:34
88,88,912,UPI,Pending,2900.53,2026-03-28 18:46:38
89,89,395,Credit Card,Success,2241.85,2025-07-07 06:31:34
90,90,79,UPI,Success,456.11,2025-02-20 05:14:04
91,91,164,Credit Card,Pending,2727.29,2024-08-08 04:28:49
92,92,505,UPI,Failed,557.26,2025-08-09 11:49:19
93,93,681,Credit Card,Success,4887.48,2025-11-12 03:14:28
94,94,715,Net Banking,Success,289.01,2025-11-30 10:56:29
95,95,272,Debit Card,Failed,4071.6,2025-03-09 03:10:38
96,96,183,Credit Card,Success,1611.26,2026-04-20 15:50:36
97,97,668,Cash,Success,3681.69,2025-06-18 19:53:03
98,98,899,Credit Card,Failed,940.8,2025-06-09 13:20:52
99,99,705,Net Banking,Pending,2516.15,2026-01-31 13:50:16
100,100,752,Credit Card,Pending,3804.8,2026-04-05 04:40:28
101,101,106,Net Banking,Pending,1435.82,2025-10-18 01:48:58
102,102,850,Debit Card,Pending,4286.91,2024-12-02 22:50:27
103,103,367,Cash,Failed,1948.06,2025-07-17 03:51:28
104,104,611,Net Banking,Pending,4615.34,2025-10-05 19:05:48
105,105,88,Credit Card,Pending,154.78,2024-10-29 19:35:13
106,106,502,Net Banking,Failed,463.78,2024-10-30 19:26:02
107,107,873,Net Banking,Pending,2622.61,2026-04-26 11:59:02
108,108,921,Cash,Pending,1525.81,2024-09-16 17:52:23
109,109,618,Cash,Pending,4607.3,2024-10-10 15:03:29
110,110,441,Net Banking,Pending,2146.7,2025-02-08 18:05:54
111,111,467,UPI,Failed,2745.95,2026-02-16 10:40:04
112,112,970,Credit Card,Success,3200.79,2024-12-20 05:14:58
113,113,972,Debit Card,Success,2141.99,2025-11-14 06:31:07
114,114,364,UPI,Success,1332.84,2025-01-06 19:45:21
115,115,234,Debit Card,Success,204.15,2024-06-28 09:52:49
116,116,361,UPI,Failed,1348.85,2025-11-04 01:12:59
117,117,447,UPI,Success,3011.02,2026-01-28 12:38:43
118,118,942,Credit Card,Pending,176.63,2026-04-22 03:00:50
119,119,99,Cash,Failed,2924.27,2024-09-17 20:24:05
120,120,307,Net Banking,Success,3276.96,2024-12-04 09:28:14
121,121,883,Credit Card,Failed,3472.66,2024-12-19 20:55:54
122,122,384,Credit Card,Success,3973.21,2024-08-05 23:23:29
123,123,981,Credit Card,Pending,4391.14,2025-12-18 21:29:25
124,124,445,Cash,Pending,1962.03,2025-05-23 23:05:59
125,125,208,UPI,Failed,4566.37,2024-06-15 01:59:19
126,126,858,Net Banking,Pending,963.15,2024-10-16 08:06:06
127,127,8,UPI,Failed,3725.93,2025-07-06 01:11:04
128,128,249,UPI,Success,1487.27,2024-11-01 14:00:30
129,129,150,Debit Card,Pending,3796.74,2024-07-20 18:40:16
130,130,49,Cash,Failed,2265.39,2025-10-29 06:52:40
131,131,192,Net Banking,Pending,1538.03,2026-03-03 12:25:10
132,132,206,Net Banking,Success,634.82,2024-06-11 10:08:17
133,133,184,Credit Card,Pending,4768.44,2025-01-29 10:58:47
134,134,545,Net Banking,Failed,3207.98,2025-06-08 23:07:11
135,135,760,UPI,Pending,2409.75,2025-01-14 20:56:48
136,136,863,UPI,Failed,573.24,2026-02-10 22:16:57
137,137,654,Credit Card,Success,1633.27,2025-09-08 01:16:16
138,138,544,Credit Card,Failed,2485.56,2025-12-16 08:24:18
139,139,882,Credit Card,Success,4206.73,2024-09-03 16:56:43
140,140,407,Credit Card,Success,4657.9,2026-02-26 08:12:35
141,141,861,Debit Card,Failed,1443.19,2024-07-06 04:15:00
142,142,806,Cash,Failed,742.3,2025-12-03 10:47:06
143,143,805,UPI,Success,1985.89,2025-07-22 18:47:54
144,144,947,Credit Card,Success,2288.42,2024-07-09 21:51:29
145,145,764,UPI,Failed,2010.08,2025-01-24 21:40:46
146,146,553,Cash,Success,651.83,2025-01-30 01:22:52
147,147,380,Credit Card,Pending,2701.9,2025-01-15 14:27:19
148,148,185,Cash,Failed,1089.89,2025-06-15 03:22:18
149,149,57,Net Banking,Pending,4441.25,2026-05-22 21:06:14
150,150,95,UPI,Pending,4789.85,2025-02-03 15:01:43
151,151,859,Debit Card,Failed,697.29,2024-10-05 12:35:25
152,152,312,Credit Card,Pending,188.16,2024-09-16 13:43:01
153,153,604,UPI,Success,4465.83,2024-12-05 21:55:21
154,154,166,UPI,Failed,3694.12,2024-10-23 06:06:05
155,155,994,UPI,Success,4882.31,2025-06-19 00:13:05
156,156,561,Cash,Success,2056.43,2024-08-05 04:40:57
157,157,76,UPI,Failed,1107.14,2024-12-13 02:43:22
158,158,723,Net Banking,Pending,3546.01,2024-06-02 16:18:17
159,159,83,Debit Card,Success,2730.45,2025-07-10 03:37:52
160,160,712,UPI,Success,4817.62,2024-09-22 18:57:42
161,161,797,Cash,Success,3740.55,2026-01-14 10:16:41
162,162,269,UPI,Pending,4858.04,2026-04-03 03:13:27
163,163,527,Debit Card,Pending,4356.88,2025-06-08 10:38:03
164,164,847,Cash,Pending,3638.8,2026-05-09 10:14:11
165,165,252,Cash,Failed,1834.54,2025-06-26 04:37:44
166,166,319,UPI,Success,4025.97,2026-01-26 06:06:51
167,167,303,Credit Card,Pending,4716.31,2025-12-20 10:01:00
168,168,631,Net Banking,Failed,3506.84,2025-02-26 22:23:51
169,169,266,Credit Card,Pending,511.55,2026-01-04 01:47:45
170,170,995,Debit Card,Success,1484.74,2025-06-06 11:48:28
171,171,558,Credit Card,Failed,3353.39,2026-02-23 21:21:09
172,172,792,Cash,Success,1210.51,2025-10-12 01:07:04
