return_id,order_id,product_id,quantity,return_reason,return_status,return_date
1,6503.0,924.0,2.0,Customer Changed Mind,Rejected,2026-01-16
2,2118.0,14.0,3.0,Customer Changed Mind,Rejected,2025-07-26
3,1945.0,624.0,1.0,Not as Described,Approved,2026-04-25
4,2504.0,132.0,2.0,Quality Issue,Approved,2026-04-04
5,1246.0,799.0,2.0,Not as Described,Approved,2026-05-10
6,4827.0,110.0,3.0,Not as Described,Pending,2025-12-01
7,7765.0,44.0,3.0,Damaged Product,Pending,2025-08-04
8,1920.0,518.0,5.0,Not as Described,Pending,2025-09-18
9,9421.0,697.0,2.0,Customer Changed Mind,Rejected,2025-12-03
10,789.0,460.0,2.0,Customer Changed Mind,Pending,2025-09-20
11,8336.0,459.0,1.0,Wrong Item Delivered,Approved,2025-07-12
12,4751.0,121.0,4.0,Not as Described,Approved,2025-06-06
13,4657.0,728.0,5.0,Wrong Item Delivered,Rejected,2026-01-28
14,9616.0,924.0,5.0,Quality Issue,Rejected,2025-07-29
15,8328.0,962.0,1.0,Damaged Product,Approved,2025-12-11
16,6223.0,82.0,2.0,Damaged Product,Pending,2025-10-07
17,8780.0,379.0,4.0,Damaged Product,Approved,2025-06-26
18,626.0,520.0,4.0,Quality Issue,Rejected,2026-01-19
19,4726.0,60.0,2.0,Damaged Product,Approved,2025-07-01
20,2149.0,78.0,5.0,Damaged Product,Approved,2025-08-13
21,1323.0,980.0,1.0,Quality Issue,Pending,2025-11-14
22,6938.0,643.0,4.0,Damaged Product,Pending,2025-10-03
23,7105.0,392.0,1.0,Wrong Item Delivered,Rejected,2025-12-06
24,3658.0,382.0,2.0,Not as Described,Rejected,2026-05-03
25,4491.0,353.0,4.0,Not as Described,Rejected,2025-09-08
26,7084.0,53.0,1.0,Not as Described,Rejected,2025-11-02
27,6659.0,849.0,3.0,Not as Described,Approved,2025-11-29
28,303.0,373.0,2.0,Damaged Product,Approved,2026-01-03
29,2547.0,869.0,2.0,Damaged Product,Rejected,2025-12-18
30,6256.0,151.0,4.0,Quality Issue,Approved,2026-05-08
31,743.0,601.0,3.0,Customer Changed Mind,Approved,2025-08-17
32,610.0,129.0,5.0,Wrong Item Delivered,Rejected,2025-10-15
33,9158.0,760.0,3.0,Customer Changed Mind,Pending,2025-08-11
34,1644.0,947.0,3.0,Wrong Item Delivered,Pending,2026-05-16
35,4387.0,921.0,5.0,Quality Issue,Rejected,2026-01-13
36,3805.0,735.0,1.0,Wrong Item Delivered,Pending,2025-07-22
37,516.0,968.0,1.0,Wrong Item Delivered,Approved,2025-10-12
38,4443.0,223.0,1.0,Quality Issue,Approved,2025-10-03
39,6590.0,953.0,1.0,Wrong Item Delivered,Pending,2025-10-19
40,6122.0,838.0,2.0,Quality Issue,Approved,2026-01-07
41,4169.0,839.0,5.0,Wrong Item Delivered,Rejected,2026-01-11
42,9861.0,199.0,2.0,Not as Described,Rejected,2025-08-19
43,1201.0,329.0,4.0,Customer Changed Mind,Approved,2025-12-29
44,224.0,442.0,1.0,Quality Issue,Approved,2026-01-28
45,6444.0,359.0,3.0,Not as Described,Pending,2025-09-10
46,5079.0,808.0,1.0,Customer Changed Mind,Rejected,2025-09-17
